name,description,path,,,Genetically related features,Deposit environment,Deposit group,Deposit type,Synonym(s),Example(s),Reference(s)
Siliciclastic-mafic barite,,Sediment-hosted/,,,"Continental rift basin, fill phase, turbidite sequences, arid climate, evaporites, growth faults, mafic magmatism, basinal brine, alkali and magnesium metasomatism, seafloor vents",Basin hydrothermal,Sediment-hosted,Siliciclastic-mafic barite,,"U.S.: Northumberland barite, Nev.","Clark and Orris, 1991"
Siliciclastic-carbonate zinc-lead,,Sediment-hosted/,,,"Continental rift (or passive margin) basin, sag phase, carbonate shelf and silici-clastic slope sequences, arid climate, evaporites, growth faults, basin brine, alkali and magnesium metasomatism, seafloor vents",Basin hydrothermal,Sediment-hosted,Siliciclastic-carbonate zinc-lead,"Sedex, CD, McArthur, bedded","AUS: Mt. Isa, QLD; McArthur River, NT; CAN: Howard’s Pass, YT; U.S.: Red Dog Zn, Alaska; Balmat-Edwards Zn-Pb, N.Y","Emsbo, 2009; Emsbo and others, 2016b"
Irish-type sedimenthosted zinc- lead,,Sediment-hosted/,,,"Continental rift (or passive margin) basin, sag phase, carbonate shelf and silici-clastic slope sequences, arid climate, evaporites, growth faults, basin brine, alkali and magnesium metasomatism, seafloor vents",Basin hydrothermal,Sediment-hosted,Irish-type sedimenthosted zinc- lead,,"IRE: Irish zinc belt (Navan, Lisheen, Tynagh, Silvermines, Galmoy, Ballinalack)","Hitzman, 1995; Hõy, 1996"
Kipushi-type sediment-hosted copper-zinc-lead,,Sediment-hosted/,,,"Continental rift basin, initial phase, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism",Basin hydrothermal,Sediment-hosted,Kipushi-type sediment-hosted copper-zinc-lead,"Kipushi, salt dome","U.S.: Ruby Creek, Alaska; Apex, Utah","Cox and Bernstein, 1986; De Magnee and Francois, 1988"
Mississippi Valley-type (MVT),,,,,,,,,,,
MVT zinc-lead,,Mississippi Valley-type (MVT)/,,,"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",Basin hydrothermal,Mississippi Valley-type (MVT),MVT zinc-lead,,"AUS: Lennard Shelf, WA; Admiral Bay, WA; CAN: Polaris and Nanisivik, NU; Pine Point, NT; Robb Lake, BC; Gays River, NS; U.S.: Viburnum trend, Mo.","Leach and others, 2010"
MVT barite,,Mississippi Valley-type (MVT)/,,,"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",Basin hydrothermal,Mississippi Valley-type (MVT),MVT barite,,"CAN: Walton, NS; U.S.: SE Missouri barite district","Leach and others, 2010"
MVT fluorspar,,Mississippi Valley-type (MVT)/,,,"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",Basin hydrothermal,Mississippi Valley-type (MVT),MVT fluorspar,,"CAN: Liard, BC; U.S.: Illinois-Kentucky fluorspar","Plumlee and others, 1995; Denny and others, 2015, 2016; Hayes and others, 2017"
MVT strontium,,Mississippi Valley-type (MVT)/,,,"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",Basin hydrothermal,Mississippi Valley-type (MVT),MVT strontium,,TUR: Sivas basin celestite,"Ucurum and others, 2017"
Sandstone-hosted zinc-lead,,Mississippi Valley-type (MVT)/,,,"Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",Basin hydrothermal,Mississippi Valley-type (MVT),Sandstone-hosted zinc-lead,,"CAN: Wigwam, BC; George Lake, SK; SWE: Laisvall Zn-Pb","Briskey, 1986"
Non-sulfide zinclead ± Mn,,Non-sulfide/,,,More oxidized and (or) meta-morphosed equivalents of features noted in the previous row,Basin hydrothermal,Non-sulfide,Non-sulfide zinclead ± Mn,,"AUS: Beltana, SA; BRA: Vazante; U.S.: Franklin-Sterling Hill, N.J.","Hitzman and others, 2003"
Vein five-element,,Five-element/,,,"Crystalline basement, extensional faults, basin brine, natural gas, redox interface, hydro- lytic ± CO2 metasomatism, arsenides, regional iron and alkali-calcic metasomatism",Basin hydrothermal,Five-element,Vein five-element,,"CAN: Beaver and Timiskaming, ON; Cobalt, ON; Silver Islet, ON; Echo Bay and Eldorado, NT; U.S.: Wickenburg, Ariz.; Black Hawk, N Mex.","Kissin, 1992; Mumin and others, 2010; Markl and others, 2016; Burisch and others, 2017; Scharrer and others, 2019; Corriveau and others, in press"
Orogenic,,,,,,,,,,,
Hypozonal orogenic gold,,Orogenic/,,,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism",Metamorphic hydrothermal,Orogenic,Hypozonal orogenic gold,"Mesothermal gold; low-sulfide gold-quartz-vein, shear zone gold","CAN: Borden Lake, ON","Groves and others, 1998; Goldfarb and others, 2005, 2016"
Mesozonal orogenic gold,,Orogenic/,,,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism",Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Mesothermal gold; low-sulfide gold-quartz-vein, shear zone gold","AUS: Golden Mile, WA; Bendigo, VIC; CAN: Sigma, QC; Timmins and Detour Lake, ON; Bridge River, BC; U.S.: Mother Lode, Calif.; AlaskaJuneau, Alaska","Groves and others, 1998; Goldfarb and others, 2005, 2016"
Epizonal orogenic gold,,Orogenic/,,,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism",Metamorphic hydrothermal,Orogenic,Epizonal orogenic gold,"Refractory orogenic gold, Carlin-style gold","AUS: Wiluna, WA; Fosterville, QLD; CAN: Rackla and Coffee, YT; CHN: Qiuling; U.S.: Donlin Creek, Alaska","Groves and others, 1998; Goldfarb and others, 2005, 2016"
